file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\FinalProject1\java_design_patterns-master\composite\src\test\java\me\zbl\composite\WriterTest.java,me.zbl.composite.WriterTest,class,6,7,1,6,6,1,0,12,9,0.6666666,0.0,0.0,6,0,4,2,0,0,4,0,0,0,2,0,0,2,0,0,1,0,2,31,0,0,0,0,0,3,0,5,0,5,0,0,0,0,38,1,0
C:\FinalProject1\java_design_patterns-master\prototype\src\main\java\me\zbl\prototype\EstateVehicle.java,EstateVehicle,class,4,7,3,4,2,1,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
C:\FinalProject1\java_design_patterns-master\chain\src\main\java\me\zbl\chain\Request.java,me.zbl.chain.Request$RequestType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\FinalProject1\java_design_patterns-master\java_design_patterns-master\bridge\src\test\java\me\zbl\bridge\MordernWarTest.java,MordernWarTest,class,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
C:\FinalProject1\java_design_patterns-master\java_design_patterns-master\prototype\src\main\java\me\zbl\prototype\Prototype.java,me.zbl.prototype.Prototype,class,1,6,5,1,1,1,3,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1025,0
C:\FinalProject1\java_design_patterns-master\factory-method\src\main\java\me\zbl\factory\method\Application.java,me.zbl.factory.method.Application,class,6,7,1,6,3,1,0,5,1,0.5,NaN,NaN,3,1,1,2,0,0,1,0,0,0,2,1,0,2,0,0,2,0,0,20,0,0,0,0,0,0,0,6,0,4,0,0,0,0,19,1,2
C:\FinalProject1\java_design_patterns-master\java_design_patterns-master\facade\src\main\java\me\zbl\facade\CourseParticipator.java,CourseParticipator,class,3,6,3,3,14,1,2,9,0,0.25,0.0,0.0,8,0,7,1,0,0,7,1,0,0,1,1,0,1,0,0,1,0,0,59,0,1,0,0,0,6,0,1,0,1,1,0,1,0,20,1025,6
C:\FinalProject1\java_design_patterns-master\java_design_patterns-master\visitor\src\main\java\me\zbl\visitor\Unit.java,me.zbl.visitor.Unit,class,2,6,4,2,3,1,3,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,0,1,0,0,0,0,0,1,0,1,1,0,0,0,7,1025,0
C:\FinalProject1\java_design_patterns-master\java_design_patterns-master\composite\src\main\java\me\zbl\composite\ChineseWord.java,ChineseWord,class,3,4,1,3,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,0,1,0,0,0,9,1,0
C:\FinalProject1\java_design_patterns-master\abstract-factory\src\main\java\me\zbl\abstractFactory\Member.java,me.zbl.abstractFactory.Member,interface,0,5,5,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
